short S&P500_unscaled,short S&P500_monthly,scale,short S&P500
83,47.0,0.47,39.01
0,47.0,0.47,0.0
93,47.0,0.47,43.71
0,47.0,0.47,0.0
0,47.0,0.47,0.0
0,47.0,0.47,0.0
0,47.0,0.47,0.0
0,47.0,0.47,0.0
0,17.0,0.17,0.0
100,17.0,0.17,17.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
85,17.0,0.17,14.450000000000001
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,17.0,0.17,0.0
87,17.0,0.17,14.790000000000001
0,17.0,0.17,0.0
0,17.0,0.17,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
100,29.0,0.29,28.999999999999996
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
94,29.0,0.29,27.259999999999998
96,29.0,0.29,27.839999999999996
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
99,29.0,0.29,28.709999999999997
0,29.0,0.29,0.0
0,29.0,0.29,0.0
0,29.0,0.29,0.0
97,29.0,0.29,28.13
0,29.0,0.29,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
99,23.0,0.23,22.77
0,23.0,0.23,0.0
98,23.0,0.23,22.540000000000003
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
99,23.0,0.23,22.77
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
100,23.0,0.23,23.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,23.0,0.23,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
72,34.0,0.34,24.48
70,34.0,0.34,23.8
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
71,34.0,0.34,24.14
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
71,34.0,0.34,24.14
0,34.0,0.34,0.0
0,34.0,0.34,0.0
80,34.0,0.34,27.200000000000003
100,34.0,0.34,34.0
67,34.0,0.34,22.78
0,34.0,0.34,0.0
0,34.0,0.34,0.0
71,34.0,0.34,24.14
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,34.0,0.34,0.0
0,44.0,0.44,0.0
67,44.0,0.44,29.48
68,44.0,0.44,29.92
0,44.0,0.44,0.0
0,44.0,0.44,0.0
0,44.0,0.44,0.0
70,44.0,0.44,30.8
0,44.0,0.44,0.0
0,44.0,0.44,0.0
100,44.0,0.44,44.0
0,44.0,0.44,0.0
0,44.0,0.44,0.0
0,44.0,0.44,0.0
