S&P500_unscaled,S&P500_monthly,scale,S&P500
68,22.0,0.22,14.96
47,22.0,0.22,10.34
41,22.0,0.22,9.02
45,22.0,0.22,9.9
72,22.0,0.22,15.84
100,22.0,0.22,22.0
86,22.0,0.22,18.92
80,22.0,0.22,17.6
67,22.0,0.22,14.74
13,22.0,0.22,2.86
40,22.0,0.22,8.8
48,22.0,0.22,10.56
66,22.0,0.22,14.52
67,22.0,0.22,14.74
76,22.0,0.22,16.72
67,22.0,0.22,14.74
22,22.0,0.22,4.84
27,22.0,0.22,5.94
46,22.0,0.22,10.12
73,22.0,0.22,16.06
73,22.0,0.22,16.06
56,22.0,0.22,12.32
59,22.0,0.22,12.98
45,22.0,0.22,9.9
27,22.0,0.22,5.94
54,21.0,0.21,11.34
84,21.0,0.21,17.64
100,21.0,0.21,21.0
73,21.0,0.21,15.33
64,21.0,0.21,13.44
12,21.0,0.21,2.52
18,21.0,0.21,3.78
39,21.0,0.21,8.19
35,21.0,0.21,7.35
35,21.0,0.21,7.35
51,21.0,0.21,10.709999999999999
58,21.0,0.21,12.18
30,21.0,0.21,6.3
12,21.0,0.21,2.52
34,21.0,0.21,7.14
20,21.0,0.21,4.2
15,21.0,0.21,3.15
56,21.0,0.21,11.76
26,21.0,0.21,5.46
12,21.0,0.21,2.52
30,21.0,0.21,6.3
35,21.0,0.21,7.35
60,21.0,0.21,12.6
56,21.0,0.21,11.76
67,21.0,0.21,14.07
53,21.0,0.21,11.129999999999999
36,21.0,0.21,7.56
24,21.0,0.21,5.04
86,21.0,0.21,18.06
85,21.0,0.21,17.849999999999998
82,25.0,0.25,20.5
58,25.0,0.25,14.5
44,25.0,0.25,11.0
25,25.0,0.25,6.25
50,25.0,0.25,12.5
100,25.0,0.25,25.0
60,25.0,0.25,15.0
83,25.0,0.25,20.75
82,25.0,0.25,20.5
74,25.0,0.25,18.5
24,25.0,0.25,6.0
48,25.0,0.25,12.0
76,25.0,0.25,19.0
55,25.0,0.25,13.75
66,25.0,0.25,16.5
59,25.0,0.25,14.75
80,25.0,0.25,20.0
35,25.0,0.25,8.75
48,25.0,0.25,12.0
