S&P500_unscaled,S&P500_monthly,scale,S&P500
54,23.0,0.23,12.42
41,23.0,0.23,9.43
13,23.0,0.23,2.99
45,25.0,0.25,11.25
33,25.0,0.25,8.25
83,25.0,0.25,20.75
67,25.0,0.25,16.75
46,25.0,0.25,11.5
40,25.0,0.25,10.0
40,25.0,0.25,10.0
38,25.0,0.25,9.5
81,25.0,0.25,20.25
65,25.0,0.25,16.25
50,25.0,0.25,12.5
40,25.0,0.25,10.0
13,25.0,0.25,3.25
19,25.0,0.25,4.75
60,25.0,0.25,15.0
88,25.0,0.25,22.0
82,25.0,0.25,20.5
61,25.0,0.25,15.25
75,25.0,0.25,18.75
20,25.0,0.25,5.0
39,25.0,0.25,9.75
27,25.0,0.25,6.75
55,25.0,0.25,13.75
65,25.0,0.25,16.25
100,25.0,0.25,25.0
35,25.0,0.25,8.75
13,25.0,0.25,3.25
39,25.0,0.25,9.75
44,25.0,0.25,11.0
49,25.0,0.25,12.25
67,37.0,0.37,24.79
34,37.0,0.37,12.58
50,37.0,0.37,18.5
41,37.0,0.37,15.17
16,37.0,0.37,5.92
47,37.0,0.37,17.39
53,37.0,0.37,19.61
27,37.0,0.37,9.99
68,37.0,0.37,25.16
84,37.0,0.37,31.08
56,37.0,0.37,20.72
8,37.0,0.37,2.96
72,37.0,0.37,26.64
46,37.0,0.37,17.02
67,37.0,0.37,24.79
100,37.0,0.37,37.0
55,37.0,0.37,20.35
40,37.0,0.37,14.8
32,37.0,0.37,11.84
46,37.0,0.37,17.02
78,37.0,0.37,28.86
33,37.0,0.37,12.209999999999999
54,37.0,0.37,19.98
28,37.0,0.37,10.36
32,37.0,0.37,11.84
23,37.0,0.37,8.51
39,37.0,0.37,14.43
72,37.0,0.37,26.64
33,37.0,0.37,12.209999999999999
40,37.0,0.37,14.8
57,37.0,0.37,21.09
56,27.0,0.27,15.120000000000001
22,27.0,0.27,5.94
37,27.0,0.27,9.99
72,27.0,0.27,19.44
72,27.0,0.27,19.44
100,27.0,0.27,27.0
57,27.0,0.27,15.39
32,27.0,0.27,8.64
32,27.0,0.27,8.64
54,27.0,0.27,14.580000000000002
27,27.0,0.27,7.290000000000001
71,27.0,0.27,19.17
72,27.0,0.27,19.44
75,27.0,0.27,20.25
0,27.0,0.27,0.0
21,27.0,0.27,5.67
45,27.0,0.27,12.15
78,27.0,0.27,21.060000000000002
37,27.0,0.27,9.99
45,27.0,0.27,12.15
57,27.0,0.27,15.39
32,27.0,0.27,8.64
42,27.0,0.27,11.34
62,27.0,0.27,16.740000000000002
79,27.0,0.27,21.330000000000002
63,27.0,0.27,17.01
46,27.0,0.27,12.420000000000002
47,27.0,0.27,12.690000000000001
42,27.0,0.27,11.34
41,27.0,0.27,11.07
74,26.0,0.26,19.240000000000002
66,26.0,0.26,17.16
42,26.0,0.26,10.92
25,26.0,0.26,6.5
52,26.0,0.26,13.52
0,26.0,0.26,0.0
20,26.0,0.26,5.2
68,26.0,0.26,17.68
50,26.0,0.26,13.0
92,26.0,0.26,23.92
76,26.0,0.26,19.76
53,26.0,0.26,13.780000000000001
51,26.0,0.26,13.26
20,26.0,0.26,5.2
84,26.0,0.26,21.84
42,26.0,0.26,10.92
60,26.0,0.26,15.600000000000001
52,26.0,0.26,13.52
28,26.0,0.26,7.28
52,26.0,0.26,13.52
21,26.0,0.26,5.46
63,26.0,0.26,16.38
92,26.0,0.26,23.92
31,26.0,0.26,8.06
